code,name
hs110c,Abilene
hs120c,Amarillo
hs130c,Arlington
hs140c,Austin
hs145c,Bay Area
hs150c,Beaumont
hs160c,Brazoria County
hs170c,Brownsville
hs180c,Bryan-College Station
hs186c,Collin County
hs190c,Corpus Christi
hs200c,Dallas
hs212c,Denton County
hs220c,El Paso
hs230c,Fort Bend
hs240c,Fort Worth
hs250c,Galveston
hs260c,Garland
hs270c,Harlingen
hs280c,Houston
hs292c,Irving
hs300c,Killeen-Fort Hood
hs315c,Laredo
hs320c,Longview-Marshall
hs330c,Lubbock
hs340c,Lufkin
hs350c,McAllen
hs355c,Midland
hs360c,Montgomery County
hs370c,Nacogdoches
hs390c,NE Tarrant County
hs395c,Odessa
hs410c,Palestine
hs420c,Paris
hs440c,Port Arthur
hs450c,San Angelo
hs460c,San Antonio
hs475c,San Marcos
hs480c,Sherman-Denison
hs490c,Temple-Belton
hs500c,Texarkana
hs520c,Tyler
hs530c,Victoria
hs540c,Waco
hs550c,Wichita Falls
hs800c,Texas Totals
