Price Range,Percent Distribution
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
$29999 or less,1.6,1.4,0.9,0.9,1.0,0.8,0.7,0.8,0.8,0.8,0.1
30000 - 39999,2.1,1.8,1.7,1.6,1.8,1.4,1.1,1.1,0.5,0.4,0.3
40000 - 49999,6.4,5.4,4.6,4.4,3.2,3.1,3.0,2.0,1.1,0.8,0.6
50000 - 59999,12.4,14.0,12.5,8.5,7.5,6.1,5.1,3.4,1.5,1.2,1.2
60000 - 69999,17.7,16.6,16.4,15.3,13.6,12.1,10.1,6.2,3.0,2.2,1.7
70000 - 79999,13.9,13.8,13.1,11.5,13.4,12.5,14.4,9.2,5.7,4.0,4.1
80000 - 89999,11.9,11.2,12.4,11.1,11.2,12.1,11.6,10.1,9.6,8.2,6.8
90000 - 99999,5.5,8.3,7.1,7.8,8.2,8.4,8.8,10.1,8.3,7.7,8.1
100000 - 119999,8.7,8.8,9.2,11.6,11.3,12.2,11.7,14.0,14.5,16.0,15.8
120000 - 139999,6.9,4.7,6.5,9.4,9.0,10.3,10.3,13.4,13.2,14.8,15.5
140000 - 159999,4.2,4.2,4.3,5.2,6.0,6.3,6.6,8.9,9.9,9.4,10.3
160000 - 179999,2.7,3.2,3.3,3.7,4.1,3.8,4.0,5.6,8.4,9.1,8.8
180000 - 199999,1.4,1.7,2.2,2.6,2.6,2.9,3.4,4.8,5.4,6.0,5.7
200000 - 249999,2.5,2.6,3.2,3.0,3.4,4.0,4.1,5.0,7.3,7.4,9.0
250000 - 299999,1.0,1.1,1.3,1.5,1.7,1.7,2.0,2.4,4.8,5.1,5.1
300000 - 399999,0.8,0.9,0.9,1.4,1.3,1.6,2.1,2.1,3.6,4.7,4.3
400000 - 499999,0.3,0.2,0.2,0.3,0.4,0.6,0.5,0.6,1.3,1.4,1.4
500000 and more,0.2,0.1,0.2,0.2,0.3,0.2,0.4,0.4,1.2,0.9,1.2
