Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,77,4744720,61600,57100,970,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,66,4488677,68000,54400,-,-
May,103,7517063,73000,64500,1183,-
Jun,78,5817272,74600,71200,-,-
Jul,88,6763004,76900,56900,1174,-
Aug,99,7143950,72200,59300,1098,-
Sep,69,5363586,77700,70700,1071,-
Oct,76,5297747,69700,59000,1030,12.6
Nov,77,4744720,61600,57100,970,11.9
Dec,-,-,-,-,-,-
1991-Jan,48,3251550,67700,62200,935,11.9
Feb,62,4738784,76400,61400,927,12.1
Mar,60,4500000,75000,-,-,-
Apr,62,4302555,69400,-,951,12.7
May,90,7063795,78500,-,989,13.4
Jun,88,6887904,78300,65500,1019,13.7
Jul,102,7744679,75900,70800,1045,13.8
Aug,100,7500000,75000,-,-,-
Sep,80,6000000,75000,-,-,-
Oct,82,6467712,78900,65800,930,12.0
Nov,70,5110000,73000,-,-,-
Dec,40,2912346,72800,66000,874,11.9
1992-Jan,42,3082000,73400,68900,919,12.6
Feb,50,3729775,74600,65600,-,-
Mar,90,6967100,77400,67100,1035,13.9
Apr,102,8137380,79800,66700,1049,13.4
May,95,8155350,85800,61400,1044,13.3
Jun,131,10639541,81200,67500,1011,12.3
Jul,95,10724098,112900,67700,1013,12.4
Aug,116,10358795,89300,76200,962,11.6
Sep,118,9551086,80900,70000,885,10.3
Oct,92,7061035,76800,71800,835,9.6
Nov,81,7023204,86700,67500,792,9.0
Dec,79,6552729,82900,65600,789,8.7
1993-Jan,104,8025210,77200,62700,796,8.3
Feb,123,8599908,69900,69600,791,7.7
Mar,111,9309878,83900,69100,850,8.2
Apr,109,8161728,74900,66800,848,8.1
May,93,7744600,83300,72100,861,8.3
Jun,122,9880818,81000,67400,866,8.4
Jul,111,10297150,92800,77500,904,8.6
Aug,112,9699680,86600,57000,910,8.7
Sep,121,12186210,100700,67600,837,8.0
Oct,109,9115922,83600,72700,803,7.6
Nov,104,9359400,90000,72500,753,7.0
Dec,93,8790900,94500,75000,689,6.3
1994-Jan,57,3899280,68400,68800,-,-
Feb,95,8355436,88000,75400,-,-
Mar,92,7388639,80300,70000,703,6.9
Apr,109,9271967,85100,75400,195,1.9
May,121,11569916,95600,83500,729,7.0
Jun,108,9807470,90800,77500,-,-
Jul,96,7755650,80800,75400,773,7.6
Aug,129,17069947,132300,79700,815,7.9
Sep,110,10818848,98400,78300,777,7.6
Oct,83,7054040,85000,67700,740,7.4
Nov,102,8702250,85300,68300,-,-
Dec,93,6460710,69500,62500,701,7.0
1995-Jan,64,5258048,82200,65000,699,7.0
Feb,75,6562775,87500,73700,704,7.1
Mar,111,8670775,78100,68100,751,7.5
Apr,92,7309932,79500,65600,769,7.8
May,86,8017840,93200,79300,960,10.0
Jun,164,15544890,94800,80600,-,-
Jul,141,13709600,97200,77200,-,-
Aug,140,12940725,92400,81200,963,9.2
Sep,112,10948640,97800,82200,927,8.8
Oct,112,10802019,96400,83300,949,8.8
Nov,120,11147010,92900,77000,918,8.4
Dec,94,9066970,96500,77100,859,7.9
1996-Jan,93,9153837,98400,85000,-,-
Feb,97,9232765,95200,77900,966,8.5
Mar,109,9707915,89100,75600,1008,8.9
Apr,132,12476260,94500,80900,1080,9.3
May,131,12618399,96300,82200,1099,9.1
Jun,164,17254350,105200,77500,1136,9.4
Jul,139,14875095,107000,91600,1159,9.6
Aug,147,13153832,89500,76600,1171,9.7
Sep,143,13994199,97900,87300,1153,9.3
Oct,122,13643785,111800,82100,1141,9.2
Nov,97,10053460,103600,87100,1085,8.9
Dec,107,9896800,92500,77300,992,8.0
1997-Jan,76,9010000,118600,100000,1235,10.1
Feb,97,9370000,96600,78100,1264,10.4
Mar,124,11450000,92300,76800,1350,11.0
Apr,126,12970000,102900,86900,1406,11.5
May,139,14595000,105000,93100,1390,11.3
Jun,168,17775000,105800,88200,1428,11.5
Jul,168,18170000,108200,95300,1445,11.5
Aug,153,16745000,109400,96800,1424,11.2
Sep,150,15430000,102900,82000,1392,10.9
Oct,101,10815000,107100,93100,1402,11.2
Nov,113,12015000,106300,96100,1360,10.7
Dec,108,10665000,98800,87700,1348,10.6
1998-Jan,108,11825000,109500,85500,1403,10.8
Feb,111,12210000,110000,93900,1492,11.4
Mar,164,18695000,114000,90800,1617,12.1
Apr,123,14700000,119500,97700,1695,12.7
May,151,15195000,100600,83800,1717,12.7
Jun,190,21195000,111600,90600,1763,12.9
Jul,190,21195000,111600,90600,1763,12.7
Aug,169,17445000,103200,88800,1725,12.3
Sep,158,18245000,115500,94000,1676,11.9
Oct,153,14445000,94400,82000,1667,11.5
Nov,148,14820000,100100,82400,1610,10.9
Dec,144,14545000,101000,87300,1496,9.9
1999-Jan,98,10220000,104300,81200,1597,10.7
Feb,138,13855000,100400,83300,1601,10.5
Mar,197,22450000,114000,92300,1604,10.4
Apr,188,20635000,109800,88000,1662,10.4
May,195,19295000,98900,87100,1735,10.6
Jun,197,21590000,109600,89800,1734,10.5
Jul,191,21140000,110700,95000,1734,10.5
Aug,199,21785000,109500,90500,1679,10.0
Sep,181,18125000,100100,83500,1569,9.3
Oct,173,19660000,113600,89600,1533,9.0
Nov,119,12455000,104700,86500,1493,8.9
Dec,156,17940000,115000,90000,1379,8.1
2000-Jan,113,12425000,110000,85800,1438,8.4
Feb,142,14470000,101900,86200,1483,8.7
Mar,201,20860000,103800,87800,-,-
Apr,169,20475000,121200,94600,1564,9.2
May,191,22775000,119200,95000,1564,9.2
Jun,201,23470000,116800,94700,1585,9.3
Jul,191,23070000,120800,97900,1576,9.3
Aug,198,22855000,115400,99000,1574,9.3
Sep,152,17355000,114200,97500,1585,9.5
Oct,164,17030000,103800,86400,1490,9.0
Nov,154,18140000,117800,98800,1442,8.5
Dec,123,13525000,110000,92500,1331,8.0
2001-Jan,109,12885000,118200,95000,1439,8.7
Feb,140,15640000,111700,88600,1472,8.9
Mar,166,18375000,110700,98900,1505,9.2
Apr,184,22760000,123700,101200,1529,9.3
May,193,22975000,119000,99500,1615,9.8
Jun,195,28075000,144000,120400,1582,9.6
Jul,184,24410000,132700,103500,1599,9.8
Aug,224,28365000,126600,105700,1539,9.3
Sep,162,19810000,122300,95000,1535,9.2
Oct,194,22350000,115200,104800,1453,8.6
Nov,168,21010000,125100,107500,1390,8.2
Dec,147,16665000,113400,97700,1278,7.4
2002-Jan,114,12140000,106500,85000,1386,8.0
Feb,180,21460000,119200,100900,1432,8.1
Mar,163,21090000,129400,97300,1494,8.5
Apr,166,19315000,116400,92000,1556,8.9
May,226,28945000,128100,105800,1611,9.1
Jun,207,28095000,135700,114100,1662,9.3
Jul,182,21670000,119100,103500,1666,9.4
Aug,232,28795000,124100,100000,1622,9.1
Sep,163,20845000,127900,103700,1597,8.9
Oct,161,17920000,111300,91500,1578,9.0
Nov,136,17780000,130700,112600,1516,8.8
Dec,146,20205000,138400,111000,1370,7.9
2003-Jan,117,14960000,127900,107900,1511,8.7
