"msa","sales","volume","price_avg","price_med","listings","inventory","month","year"
"110",110,5047628,45900,36700,764,9.5,1,1990
"110",65,3089121,47500,47900,976,12.1,2,1990
"110",91,4437576,48800,43900,1036,12.8,3,1990
"110",101,4355732,43100,37700,1038,12.4,4,1990
"110",113,5059475,44800,36500,966,11.1,5,1990
"110",107,4421083,41300,32500,959,10.9,6,1990
"110",129,5536589,42900,40900,978,10.6,7,1990
"110",146,6315629,43300,39300,905,9.3,8,1990
"110",131,5490661,41900,35600,839,8.2,9,1990
"110",130,5073393,39000,29100,805,7.5,10,1990
"110",110,5047628,45900,36700,764,7,11,1990
"110",88,3919486,44500,44300,705,6.4,12,1990
"110",87,3351110,38500,39200,700,6.5,1,1991
"110",81,2872510,35500,28300,682,6.2,2,1991
"110",97,3980856,41000,35000,699,6.4,3,1991
"110",100,4195982,42000,36700,697,6.3,4,1991
"110",106,4452229,42000,36700,731,6.7,5,1991
"110",107,5852953,54700,47900,710,6.5,6,1991
"110",127,6629152,52200,48300,649,5.9,7,1991
"110",120,6410971,53400,42500,647,6,8,1991
"110",105,4502455,42900,36800,632,6,9,1991
"110",102,4668622,45800,36000,595,5.8,10,1991
"110",85,4786383,56300,46900,560,5.6,11,1991
"110",67,2836105,42300,41500,515,5.2,12,1991
"110",74,3709002,50100,39200,549,5.6,1,1992
"110",64,2716236,42400,34000,532,5.5,2,1992
"110",98,5549104,56600,44400,545,5.7,3,1992
"110",104,4684791,45000,35800,574,5.9,4,1992
"110",91,4539538,49900,39600,599,6.3,5,1992
"110",111,6031959,54300,47000,638,6.7,6,1992
"110",89,5981309,67200,50500,635,6.9,7,1992
"110",96,5818467,60600,55900,630,7,8,1992
"110",96,5697355,59300,49400,633,7.1,9,1992
"110",84,5367600,63900,54000,665,7.5,10,1992
"110",83,5396353,65000,50600,647,7.3,11,1992
"110",62,4115004,66400,54400,588,6.7,12,1992
"110",57,3193110,56000,51900,605,7,1,1993
"110",71,4184273,58900,46800,583,6.7,2,1993
"110",81,4488085,55400,50500,551,6.5,3,1993
"110",90,5594455,62200,52200,552,6.6,4,1993
"110",94,5423471,57700,52200,567,6.7,5,1993
"110",117,7941198,67900,63800,603,7.1,6,1993
"110",93,5963864,64100,57200,582,6.8,7,1993
"110",122,8236425,67500,58500,585,6.7,8,1993
"110",103,6388002,62000,54300,592,6.7,9,1993
"110",75,5211108,69500,59600,601,6.9,10,1993
"110",71,4206502,59200,57000,578,6.7,11,1993
"110",86,5465690,63600,61200,511,5.8,12,1993
"110",60,4200582,70000,64400,522,5.9,1,1994
"110",65,4077698,62700,60400,473,5.4,2,1994
"110",116,8039916,69300,60600,525,5.8,3,1994
"110",91,6044227,66400,60300,559,6.1,4,1994
"110",95,6971122,73400,62500,616,6.8,5,1994
"110",102,7225213,70800,65800,654,7.3,6,1994
"110",130,9127306,70200,64000,650,7,7,1994
"110",110,6811468,61900,58500,638,6.9,8,1994
"110",112,7000297,62500,54400,623,6.7,9,1994
"110",74,4685215,63300,62200,584,6.3,10,1994
"110",98,6707792,68400,57300,567,6,11,1994
"110",76,4528730,59600,48300,526,5.6,12,1994
"110",62,3698179,59600,51700,529,5.6,1,1995
"110",65,5031357,77400,55000,543,5.8,2,1995
"110",88,4960511,56400,45500,521,5.7,3,1995
"110",87,5197822,59700,54200,498,5.4,4,1995
"110",102,7048924,69100,58800,503,5.5,5,1995
"110",130,9681672,74500,71400,531,5.6,6,1995
"110",85,5336635,62800,57700,576,6.3,7,1995
"110",113,8078169,71500,65900,552,6.1,8,1995
"110",83,5536394,66700,62800,523,5.9,9,1995
"110",76,5172418,68100,60000,569,6.4,10,1995
"110",74,5014825,67800,57900,531,6.1,11,1995
"110",85,6059438,71300,67700,480,5.5,12,1995
"110",74,4594908,62100,60900,507,5.7,1,1996
"110",70,5249975,75000,61400,489,5.5,2,1996
"110",93,6043173,65000,60800,518,5.8,3,1996
"110",104,8249801,79300,69000,519,5.7,4,1996
"110",117,7979202,68200,56800,530,5.8,5,1996
"110",109,8494418,77900,64200,565,6.3,6,1996
"110",83,5875150,70800,59500,576,6.4,7,1996
"110",133,9748335,73300,66500,610,6.6,8,1996
"110",86,5381433,62600,58200,637,6.9,9,1996
"110",86,6844333,79600,63600,663,7.1,10,1996
"110",80,5232824,65400,58600,638,6.8,11,1996
"110",73,5730000,78500,70500,592,6.4,12,1996
"110",81,5405000,66700,58500,606,6.5,1,1997
"110",63,4045000,64200,60600,586,6.3,2,1997
"110",106,7460000,70400,58500,638,6.8,3,1997
"110",93,5955000,64000,53200,673,7.3,4,1997
"110",109,7695000,70600,66100,713,7.8,5,1997
"110",104,8055000,77500,69000,722,7.9,6,1997
"110",128,9840000,76900,68300,713,7.5,7,1997
"110",136,10415000,76600,72900,746,7.8,8,1997
"110",91,6395000,70300,66200,721,7.5,9,1997
"110",93,7225000,77700,72800,674,7,10,1997
"110",87,7040000,80900,67900,638,6.6,11,1997
"110",93,6255000,67300,62500,617,6.3,12,1997
"110",66,4270000,64700,58300,627,6.4,1,1998
"110",84,6035000,71800,62500,642,6.5,2,1998
"110",140,10880000,77700,70000,720,7.1,3,1998
"110",113,7985000,70700,65300,760,7.3,4,1998
"110",117,8230000,70300,63200,814,7.8,5,1998
"110",119,9665000,81200,74200,778,7.4,6,1998
"110",145,10850000,74800,69700,765,7.1,7,1998
"110",116,8230000,70900,62500,714,6.8,8,1998
"110",127,9030000,71100,62900,674,6.2,9,1998
"110",102,8145000,79900,73300,685,6.3,10,1998
"110",95,7245000,76300,64400,680,6.2,11,1998
"110",94,7735000,82300,69200,655,6,12,1998
"110",74,6345000,85700,70000,673,6.1,1,1999
"110",79,6015000,76100,70500,697,6.3,2,1999
"110",111,9020000,81300,66600,686,6.4,3,1999
"110",103,7055000,68500,61200,730,6.8,4,1999
"110",125,9395000,75200,67100,752,7,5,1999
"110",135,10930000,81000,68800,775,7.1,6,1999
"110",129,9490000,73600,67500,797,7.4,7,1999
"110",142,10350000,72900,68800,790,7.2,8,1999
"110",114,8120000,71200,59300,766,7.1,9,1999
"110",121,8080000,66800,65400,714,6.5,10,1999
"110",103,7855000,76300,63100,685,6.2,11,1999
