"stateFIPS","countyFIPS","total","vac","nostat","vac_days","nostat_days"
"01","001",22962,264,2230,116437,1280125
"01","003",90293,737,13178,264684,7408017
"01","005",13104,342,2091,213275,1340089
"01","007",8384,81,998,44413,604466
"01","009",24355,111,3191,50051,1969213
"01","011",4434,163,879,105769,625687
"01","013",11211,249,2252,141244,1522696
"01","015",57791,2488,7322,1324860,4502129
"01","017",17689,988,1594,594539,922805
"01","019",12319,99,1930,54993,1282615
"01","021",19284,170,2902,88171,1718848
"01","023",6217,246,613,100661,431634
"01","025",11618,248,1952,112567,1215564
"01","027",8966,0,3041,0,2279364
"01","029",7071,78,1141,51109,739314
"01","031",23415,590,3002,267899,1836698
"01","033",27155,905,2617,495440,1695046
"01","035",5197,105,1044,38727,426210
"01","037",3793,0,709,0,456469
"01","039",18682,787,2857,392987,1889806
"01","041",8788,103,2254,47028,1603308
"01","043",38569,383,4631,156927,2859153
"01","045",22893,766,2452,385729,1516255
"01","047",22909,1809,2731,1154387,1651951
"01","049",29756,312,4451,138940,2767373
"01","051",33390,350,3435,182426,2068971
"01","053",18928,482,3635,234435,2366348
"01","055",49656,2417,3815,1244576,2356948
"01","057",8527,177,1372,97972,909796
"01","059",13866,146,1579,79405,1010480
"01","061",12369,344,1585,194214,1030328
"01","063",4554,107,1082,62003,840432
"01","065",7464,130,1133,83206,637967
"01","067",8513,160,1150,99015,710886
"01","069",47063,1090,4525,583196,2669803
"01","071",24431,315,3242,149354,2014106
"01","073",316476,21586,20475,10685913,11745984
"01","075",6494,0,1153,0,773304
"01","077",43921,1680,4006,818341,2432296
"01","079",15525,69,1948,27165,1162831
"01","081",71065,1877,7921,819736,4493696
"01","083",34633,417,3471,198059,1935086
"01","085",4831,17,935,6697,547054
"01","087",10424,773,1391,457631,812839
"01","089",146891,4834,7515,1792746,3644444
"01","091",10875,329,1513,205570,1045217
"01","093",13785,2,2250,1135,1460618
"01","095",41996,805,4338,349304,2598056
"01","097",178614,8485,12568,4176080,7127560
"01","099",8439,196,1457,99312,950771
"01","101",107515,8398,6817,4009585,3896529
"01","103",53925,1558,4074,729631,2574304
"01","105",3176,168,327,109125,218921
"01","107",8380,126,1235,64387,841746
"01","109",16818,477,3044,262223,1978861
"01","111",11549,155,2025,78619,1295479
"01","113",26124,1341,3103,747457,1804542
"01","115",34917,133,5521,57688,3379097
"01","117",79338,195,7124,57998,3553856
"01","119",5024,186,734,108760,478319
"01","121",37616,987,4916,476800,3199362
"01","123",21530,386,2593,208816,1718412
"01","125",90751,3230,11348,1150749,6414415
"01","127",32072,644,5151,370162,3408094
"01","129",4756,0,477,0,231163
"01","131",5159,155,962,118254,605567
"01","133",11092,107,1531,47810,963215
"02","013",0,0,0,0,0
"02","016",0,0,0,0,0
"02","020",108988,3392,4591,1271602,2782543
"02","050",0,0,0,0,0
"02","060",0,0,0,0,0
"02","068",51,0,0,0,0
"02","070",0,0,0,0,0
"02","090",31924,2136,3291,927616,1824055
"02","100",142,0,14,0,8149
"02","110",10851,130,865,62688,470555
"02","122",11497,366,2335,71988,1519038
"02","130",4379,34,442,22672,280264
"02","150",3817,33,1070,13220,764523
"02","164",0,0,0,0,0
"02","170",20365,946,2304,416257,1238731
"02","180",0,0,0,0,0
"02","185",0,0,0,0,0
"02","188",0,0,0,0,0
"02","201",0,0,0,0,0
"02","220",3506,22,1028,6014,684593
"02","232",0,0,0,0,0
"02","240",389,0,25,0,15835
"02","261",667,0,66,0,29433
"02","270",0,0,0,0,0
"02","280",0,0,0,0,0
"02","282",0,0,0,0,0
"02","290",78,0,14,0,3998
"04","001",1884,0,249,0,141889
"04","003",51697,1607,5315,779760,3270010
"04","005",43198,759,5295,280253,3360900
"04","007",22973,1468,4683,673431,2872492
"04","009",9287,315,1292,125127,666657
"04","011",2011,0,608,0,359386
"04","012",5109,142,1481,19609,977649
"04","013",1644576,60038,118723,17655058,62401636
"04","015",95354,4353,9673,1835920,5501262
"04","017",22842,328,5304,165715,2859367
"04","019",444040,20449,29619,7569653,18171162
"04","021",145979,1541,37164,636043,17098848
"04","023",14664,325,1061,169389,421774
"04","025",92344,825,9933,406492,5697624
"04","027",65901,1380,7352,446142,4476940
"05","001",8828,387,785,255572,530821
"05","003",9634,335,925,203394,574454
"05","005",22013,234,2109,140294,1318811
"05","007",89984,415,10073,207439,5240346
"05","009",16372,255,1441,115031,913420
"05","011",4986,176,421,102791,263592
"05","013",1302,131,66,26331,20693
"05","015",12297,91,1219,66732,766748
"05","017",5890,355,659,242723,383328
"05","019",10805,234,937,153358,516472
"05","021",7568,404,592,199998,315507
"05","023",13308,41,1678,23730,1055997
"05","025",3124,0,295,0,206284
"05","027",11154,266,1063,186528,672564
"05","029",9228,205,836,127868,467684
"05","031",37700,860,2310,373457,1086290
"05","033",23000,380,1953,142234,1003142
"05","035",21338,665,1177,384813,685336
"05","037",7499,206,611,105890,305477
"05","039",3376,135,414,70159,255045
"05","041",6175,372,646,229992,415013
"05","043",8203,172,748,112047,465393
"05","045",44393,186,2781,136249,1390588
"05","047",7313,48,1090,33489,728082
"05","049",5275,4,1470,111,1110128
"05","051",50472,2133,3530,1404612,2059957
"05","053",7264,5,829,4237,489002
"05","055",18025,257,1224,177139,736170
"05","057",10045,102,1103,58539,743138
"05","059",14313,329,1225,215106,783610
"05","061",5748,81,587,40740,325493
"05","063",15417,121,1299,64158,682922
"05","065",4150,4,824,603,468790
"05","067",6503,281,826,139493,451329
"05","069",34034,2008,1655,1408041,1021225
"05","071",10126,117,2229,54265,1730374
"05","073",3344,126,550,93606,315075
"05","075",7477,222,748,124995,473079
"05","077",4026,221,287,149398,190181
"05","079",6219,141,2600,14664,2095137
"05","081",5282,87,538,51113,330981
"05","083",9679,139,1138,84303,739889
"05","085",26129,281,2189,181119,1104241
"05","087",5730,0,1614,0,1194387
"05","089",6848,61,1507,4666,986598
"05","091",21676,555,4069,151054,1585524
