"fips","total","vac","nostat","vac_days","nostat_days"
1001,22962,264,2230,116437,1280125
1003,90293,737,13178,264684,7408017
1005,13104,342,2091,213275,1340089
1007,8384,81,998,44413,604466
1009,24355,111,3191,50051,1969213
1011,4434,163,879,105769,625687
1013,11211,249,2252,141244,1522696
1015,57791,2488,7322,1324860,4502129
1017,17689,988,1594,594539,922805
1019,12319,99,1930,54993,1282615
1021,19284,170,2902,88171,1718848
1023,6217,246,613,100661,431634
1025,11618,248,1952,112567,1215564
1027,8966,0,3041,0,2279364
1029,7071,78,1141,51109,739314
1031,23415,590,3002,267899,1836698
1033,27155,905,2617,495440,1695046
1035,5197,105,1044,38727,426210
1037,3793,0,709,0,456469
1039,18682,787,2857,392987,1889806
1041,8788,103,2254,47028,1603308
1043,38569,383,4631,156927,2859153
1045,22893,766,2452,385729,1516255
1047,22909,1809,2731,1154387,1651951
1049,29756,312,4451,138940,2767373
1051,33390,350,3435,182426,2068971
1053,18928,482,3635,234435,2366348
1055,49656,2417,3815,1244576,2356948
1057,8527,177,1372,97972,909796
1059,13866,146,1579,79405,1010480
1061,12369,344,1585,194214,1030328
1063,4554,107,1082,62003,840432
1065,7464,130,1133,83206,637967
1067,8513,160,1150,99015,710886
1069,47063,1090,4525,583196,2669803
1071,24431,315,3242,149354,2014106
1073,316476,21586,20475,10685913,11745984
1075,6494,0,1153,0,773304
1077,43921,1680,4006,818341,2432296
1079,15525,69,1948,27165,1162831
1081,71065,1877,7921,819736,4493696
1083,34633,417,3471,198059,1935086
1085,4831,17,935,6697,547054
1087,10424,773,1391,457631,812839
1089,146891,4834,7515,1792746,3644444
1091,10875,329,1513,205570,1045217
1093,13785,2,2250,1135,1460618
1095,41996,805,4338,349304,2598056
1097,178614,8485,12568,4176080,7127560
1099,8439,196,1457,99312,950771
1101,107515,8398,6817,4009585,3896529
1103,53925,1558,4074,729631,2574304
1105,3176,168,327,109125,218921
1107,8380,126,1235,64387,841746
1109,16818,477,3044,262223,1978861
1111,11549,155,2025,78619,1295479
1113,26124,1341,3103,747457,1804542
1115,34917,133,5521,57688,3379097
1117,79338,195,7124,57998,3553856
1119,5024,186,734,108760,478319
1121,37616,987,4916,476800,3199362
1123,21530,386,2593,208816,1718412
1125,90751,3230,11348,1150749,6414415
1127,32072,644,5151,370162,3408094
1129,4756,0,477,0,231163
1131,5159,155,962,118254,605567
1133,11092,107,1531,47810,963215
2013,0,0,0,0,0
2016,0,0,0,0,0
2020,108988,3392,4591,1271602,2782543
2050,0,0,0,0,0
2060,0,0,0,0,0
2068,51,0,0,0,0
2070,0,0,0,0,0
2090,31924,2136,3291,927616,1824055
2100,142,0,14,0,8149
2110,10851,130,865,62688,470555
2122,11497,366,2335,71988,1519038
2130,4379,34,442,22672,280264
2150,3817,33,1070,13220,764523
2164,0,0,0,0,0
2170,20365,946,2304,416257,1238731
2180,0,0,0,0,0
2185,0,0,0,0,0
2188,0,0,0,0,0
2201,0,0,0,0,0
2220,3506,22,1028,6014,684593
2232,0,0,0,0,0
2240,389,0,25,0,15835
2261,667,0,66,0,29433
2270,0,0,0,0,0
2280,0,0,0,0,0
2282,0,0,0,0,0
2290,78,0,14,0,3998
4001,1884,0,249,0,141889
4003,51697,1607,5315,779760,3270010
4005,43198,759,5295,280253,3360900
4007,22973,1468,4683,673431,2872492
4009,9287,315,1292,125127,666657
4011,2011,0,608,0,359386
4012,5109,142,1481,19609,977649
4013,1644576,60038,118723,17655058,62401636
4015,95354,4353,9673,1835920,5501262
4017,22842,328,5304,165715,2859367
4019,444040,20449,29619,7569653,18171162
4021,145979,1541,37164,636043,17098848
4023,14664,325,1061,169389,421774
4025,92344,825,9933,406492,5697624
4027,65901,1380,7352,446142,4476940
5001,8828,387,785,255572,530821
5003,9634,335,925,203394,574454
5005,22013,234,2109,140294,1318811
5007,89984,415,10073,207439,5240346
5009,16372,255,1441,115031,913420
5011,4986,176,421,102791,263592
5013,1302,131,66,26331,20693
5015,12297,91,1219,66732,766748
5017,5890,355,659,242723,383328
5019,10805,234,937,153358,516472
5021,7568,404,592,199998,315507
5023,13308,41,1678,23730,1055997
5025,3124,0,295,0,206284
5027,11154,266,1063,186528,672564
5029,9228,205,836,127868,467684
5031,37700,860,2310,373457,1086290
5033,23000,380,1953,142234,1003142
5035,21338,665,1177,384813,685336
5037,7499,206,611,105890,305477
5039,3376,135,414,70159,255045
5041,6175,372,646,229992,415013
5043,8203,172,748,112047,465393
5045,44393,186,2781,136249,1390588
5047,7313,48,1090,33489,728082
5049,5275,4,1470,111,1110128
5051,50472,2133,3530,1404612,2059957
5053,7264,5,829,4237,489002
5055,18025,257,1224,177139,736170
5057,10045,102,1103,58539,743138
5059,14313,329,1225,215106,783610
5061,5748,81,587,40740,325493
5063,15417,121,1299,64158,682922
5065,4150,4,824,603,468790
5067,6503,281,826,139493,451329
5069,34034,2008,1655,1408041,1021225
5071,10126,117,2229,54265,1730374
5073,3344,126,550,93606,315075
5075,7477,222,748,124995,473079
5077,4026,221,287,149398,190181
5079,6219,141,2600,14664,2095137
5081,5282,87,538,51113,330981
5083,9679,139,1138,84303,739889
5085,26129,281,2189,181119,1104241
5087,5730,0,1614,0,1194387
5089,6848,61,1507,4666,986598
5091,21676,555,4069,151054,1585524
5093,19305,1559,1561,932401,951376
5095,3926,140,497,105256,285113
5097,3133,0,606,0,388434
5099,4550,104,1006,85150,800142
5101,3135,0,447,0,320131
5103,12524,738,803,450892,537134
5105,4004,0,596,0,368810
5107,9012,783,588,525117,384848
5109,3485,0,579,0,341885
5111,10103,202,1032,107289,659427
5113,9288,122,1160,67923,765889
5115,26152,361,2400,141144,1445319
5117,3748,0,1863,0,1537659
5119,182103,6143,7316,3837381,4042531
5121,7770,110,647,60822,437625
5123,9828,370,994,209931,625867
5125,44109,402,2948,246889,1447159
5127,5119,0,2118,0,1579925
5129,5400,10,2897,685,2239333
5131,52399,1805,2526,933671,1277846
5133,5928,98,634,58376,386763
5135,8378,0,1465,0,871956
5137,4732,0,1264,0,939456
5139,19115,1157,1341,630763,745261
5141,7300,0,1378,0,893551
5143,88551,610,9773,323008,5109614
5145,29920,370,2630,222394,1526264
5147,2762,86,357,57429,269470
5149,11210,54,4490,27437,3628377
6001,571742,6032,5719,3035121,2505580
6003,391,0,108,0,31996
6005,13166,336,1319,109271,857664
6007,91455,2643,2644,1139065,1648157
6009,12517,172,2375,50023,1526323
6011,4816,139,445,63911,231435
6013,396760,5486,7074,2053137,3289064
6015,10106,434,679,211632,414163
6017,65640,685,5390,211880,2992806
6019,305746,3711,11608,1355676,5431158
6021,9683,286,545,74063,296061
6023,52532,1894,3679,769116,2645839
6025,47218,438,3471,109958,1851444
6027,6902,104,499,41525,308333
6029,270213,4493,12546,1456190,6606074
6031,42733,654,2075,228274,1024857
6033,21937,1762,2384,843059,1486653
6035,8699,348,915,147334,638789
6037,3379523,34632,39754,13324044,20156878
6039,46691,1266,1999,544656,1099964
6041,102566,1821,2071,677725,1299570
6043,6570,159,518,53945,313771
6045,31808,684,3161,360016,2383392
6047,84141,1843,6566,522674,3469780
6049,2946,48,435,31487,339299
6051,1570,110,411,6021,121872
6053,132743,2042,6962,555826,5083965
6055,52976,471,1351,199262,792231
6057,42306,430,4017,182565,2714563
6059,1043666,10198,12691,2847445,6043795
6061,131913,1122,7795,309401,4703750
6063,6713,122,1769,20442,1179473
6065,774215,19839,45910,7559882,23073273
6067,552924,12352,12510,3785502,6405510
6069,16206,354,221,100132,150699
6071,632092,12876,18315,4273458,8534998
6073,1149801,11820,37347,3023830,21849581
6075,357715,7754,6294,3544185,3475833
