"stateFIPS","countyFIPS","total","vac","nostat","vac_days","nostat_days"
1,1,23549,281,2457,164820,1932480
1,3,94229,914,14491,350089,11025322
1,5,13326,271,2292,235435,1948153
1,7,8660,88,1190,60202,924443
1,9,24935,85,3481,59735,2861033
1,11,4568,167,972,147777,942510
1,13,11116,262,2137,155454,1991041
1,15,59556,2609,7995,1738240,6819872
1,17,18089,912,1988,744945,1466955
1,19,12659,94,2322,75332,1913399
1,21,19756,216,3145,134367,2533148
1,23,6364,282,680,169023,591466
1,25,11827,284,2150,166221,1836814
1,27,9184,13,3150,1967,3372479
1,29,7228,85,1267,70650,1088249
1,31,24298,714,3388,353078,2744295
1,33,27522,890,2768,634095,2462351
1,35,5439,122,1166,66598,791946
1,37,3917,13,778,1030,670696
1,39,18826,837,2997,550232,2730098
1,41,8912,88,2365,53253,2329460
1,43,39181,363,5159,220890,4207023
1,45,23822,822,3261,478675,2320775
1,47,23361,1781,3239,1633261,2620623
1,49,30564,313,4946,191345,4085158
1,51,34127,385,3978,258465,3102262
1,53,19258,497,3947,308688,3477464
1,55,50647,2470,4444,1699669,3556587
1,57,8643,183,1424,136273,1277174
1,59,14110,178,1750,119634,1498887
1,61,12846,333,1891,245523,1538786
1,63,4578,116,1125,89749,1146005
1,65,7512,125,1235,111233,1004380
1,67,8837,176,1365,144776,1116574
1,69,48466,1119,5607,691285,4020012
1,71,25167,319,3798,201111,3108344
1,73,319402,21544,21569,14659713,17607751
1,75,6610,0,1294,0,1137844
1,77,44521,1595,4385,1041047,3634412
1,79,15840,61,2178,34959,1729925
1,81,73944,1629,9808,1028815,7097065
1,83,35714,489,3815,250444,2918599
1,85,4960,9,1033,7267,797627
1,87,10617,686,1591,590705,1287792
1,89,150366,4307,8277,2148728,5506357
1,91,11120,373,1708,299930,1577987
1,93,14112,1,2470,1234,2153214
1,95,42967,900,4994,494683,3898162
1,97,181402,8150,13966,5298862,10667064
1,99,8674,178,1538,115905,1379313
1,101,108715,8256,7082,5577576,5887501
1,103,54611,1494,4448,958173,3792279
1,105,3230,155,354,158418,335730
1,107,8546,142,1315,102463,1225663
1,109,17163,445,3329,302977,2962015
1,111,11854,165,2235,104158,1968827
1,113,26741,1186,3559,886408,2862786
1,115,36593,175,6597,80019,5109246
1,117,81428,164,7420,78789,5319201
1,119,5131,188,857,174163,726139
1,121,38376,983,5416,630913,4673315
1,123,21995,447,2806,302049,2483364
1,125,92719,3583,11282,1592499,9287652
1,127,32862,622,5696,530196,5018500
1,129,4961,0,563,0,384972
1,131,5354,143,1085,157785,958940
1,133,11329,137,1777,64483,1440398
2,13,0,0,0,0,0
2,16,0,0,0,0,0
2,20,109754,2816,4085,1594723,3447559
2,50,0,0,0,0,0
2,60,0,0,0,0,0
2,68,53,0,0,0,0
2,70,0,0,0,0,0
2,90,32296,2467,2918,1271677,2364264
2,100,160,0,13,0,12108
2,110,10988,119,925,71805,688402
2,122,12085,493,2383,174692,2094688
2,130,4496,42,534,31988,426299
2,150,3808,32,940,17008,872183
2,164,0,0,0,0,0
2,170,21529,1054,3026,581759,2057893
2,180,0,0,0,0,0
2,185,0,0,0,0,0
2,188,0,0,0,0,0
2,201,0,0,0,0,0
2,220,3592,12,1091,2849,946998
2,232,0,0,0,0,0
2,240,384,0,58,0,31182
2,261,693,0,93,0,52000
2,270,0,0,0,0,0
2,280,0,0,0,0,0
2,282,0,0,0,0,0
2,290,85,0,15,0,7361
4,1,2047,0,257,0,204736
4,3,51859,1863,4967,1139216,4319731
4,5,43754,911,5151,416505,4792366
4,7,25005,1663,7109,895306,4548871
4,9,10219,278,2102,108315,1211650
4,11,1941,0,533,0,318261
4,12,5575,171,2021,64130,1373340
4,13,1667544,77577,124299,25226243,90163263
4,15,98087,5750,12116,2633920,8156472
4,17,23691,346,6687,217241,4209398
4,19,447433,22803,29312,9560285,25299066
4,21,149375,1800,37262,785576,26009468
4,23,15045,345,1057,246441,637422
4,25,94828,1204,11144,510987,8486909
4,27,67744,1566,8761,575084,6896804
5,1,8784,367,873,333407,777117
5,3,9791,354,1050,255729,863804
5,5,21893,215,2233,157982,1787015
5,7,91940,497,10191,275168,7225938
5,9,16645,282,1532,165834,1317828
5,11,5047,167,484,125931,399144
5,13,1344,0,256,0,98117
5,15,12490,89,1291,93915,1104331
5,17,5962,355,732,281783,580299
5,19,10819,227,1035,200507,793197
5,21,7661,387,717,270870,518245
5,23,13711,40,1966,32665,1576444
5,25,3165,0,355,0,306776
5,27,11315,245,1321,224150,989678
5,29,9849,195,1112,133869,811382
5,31,38525,792,2603,463193,1749129
5,33,23373,184,2367,158385,1647777
5,35,21794,739,1355,504389,1057852
5,37,7668,212,641,127230,460928
5,39,3413,130,459,105188,390752
5,41,6008,401,750,291161,629440
5,43,8749,141,1132,98889,810265
5,45,45903,241,3469,151994,2180769
5,47,7620,42,1195,35891,1080143
5,49,5441,0,1630,0,1620275
5,51,51473,2195,3959,1831406,3101466
5,53,7708,18,998,8270,777456
5,55,18425,228,1412,222398,1128537
5,57,10122,127,1098,88026,1068607
5,59,14664,367,1400,270068,1169903
5,61,5497,67,613,55105,464229
5,63,15773,162,1653,101894,1125426
5,65,4228,0,908,0,697285
5,67,6762,281,943,192373,714867
5,69,34303,2272,2075,1771162,1616054
5,71,11114,130,2506,84753,2622651
5,73,3467,93,688,85907,494071
5,75,7397,239,779,164802,675971
5,77,4075,226,358,183185,303641
5,79,6331,126,2735,47954,3053338
5,81,5393,74,529,68593,471043
5,83,9919,140,1282,106013,1131114
5,85,27276,307,2455,245996,1747562
5,87,6579,0,1858,0,1859770
5,89,5958,1,1103,392,824119
5,91,22368,547,4184,339055,3083888
5,93,19587,1130,2052,939662,1511595
5,95,3967,113,505,127655,429496
5,97,3387,6,709,1141,610515
5,99,4647,105,1078,108426,1155494
5,101,3199,0,544,0,461529
5,103,12734,743,1001,620834,816949
5,105,3873,0,637,0,522363
5,107,9073,722,709,615434,564906
5,109,3835,2,746,77,542022
5,111,10235,184,1121,148607,972070
5,113,9492,163,1454,96658,1182828
5,115,25893,237,2680,152434,2145620
5,117,3813,0,1940,0,2219598
5,119,183864,6222,8195,4815708,6176624
5,121,7866,105,739,71527,665222
5,123,9931,364,1130,295073,974197
5,125,46022,442,3967,259162,2476466
5,127,5198,0,2200,0,2335106
5,129,6722,9,3592,3573,3956556
5,131,53039,1714,2790,1161777,2006908
5,133,6032,68,730,65352,593644
5,135,8819,0,1682,0,1318433
5,137,5099,0,1446,0,1494478
5,139,19268,1098,1597,817768,1180498
5,141,7423,0,1515,0,1322320
5,143,91044,1341,10755,481869,7987087
5,145,30342,327,2902,223282,2076190
5,147,2616,78,408,59750,377809
5,149,11377,56,4540,37715,5196254
6,1,573850,6784,6743,4191600,4003287
6,3,396,0,101,0,63208
6,5,13377,418,1317,173575,1191126
6,7,92217,3377,3447,1468327,2298265
6,9,12963,323,2441,100103,2099261
6,11,4869,175,495,89212,360906
6,13,398717,6456,6323,3003139,4322163
6,15,10278,429,831,260986,638981
6,17,67009,1192,5932,358682,4491888
6,19,307857,4871,11305,2141008,8191267
6,21,9715,312,560,121606,436180
6,23,53026,1907,4072,1072648,3901535
6,25,48612,664,4154,217341,3085725
6,27,7032,134,537,80222,491639
6,29,274838,6560,14010,2755136,10214664
6,31,42963,746,1834,354877,1478080
6,33,22958,1878,2889,1147891,2324680
6,35,8797,306,962,179493,929116
6,37,3390706,40302,43051,18736084,28740859
6,39,46843,2059,2149,917834,1651535
6,41,103021,1918,2247,854592,1885823
6,43,6723,233,538,124074,477257
6,45,32166,749,3507,489513,3550916
6,47,84690,3342,5909,1030763,4825655
6,49,2968,54,426,36482,455780
6,51,1793,27,447,9854,267569
6,53,134140,2541,7967,1023043,7622658
6,55,53245,533,1422,320616,1145996
6,57,43103,866,4293,271871,3833371
6,59,1049721,11638,14089,4708861,9400280
6,61,133539,2219,7193,540552,6035745
6,63,6998,124,1952,52914,1720941
6,65,783420,31846,44244,12366603,32753053
6,67,557754,15891,12403,5167824,9068214
6,69,16277,362,322,168874,245181
6,71,637777,17153,18820,6627750,12273722
6,73,1150789,13140,29741,4780768,23424563
6,75,361301,7899,7967,4500336,5644454
6,77,232359,6852,8246,2161569,5520656
6,79,114651,929,8108,535421,7380586
6,81,267607,2344,4686,1142543,2974333
6,83,153529,1316,6090,518126,5079059
6,85,630719,5608,11198,2258244,7923739
6,87,99156,1657,3400,1000869,2638836
6,89,72253,2740,2143,1327115,1964323
6,91,163,0,18,0,18877
6,93,17408,1165,999,604403,856183
6,95,153217,2245,2570,1131190,1887108
6,97,192658,4247,6149,1885091,4471118
6,99,177954,5988,4671,1807442,3635986
6,101,33410,770,676,324708,524195
6,103,24582,966,762,404902,665252
6,105,1122,53,350,37443,365308
6,107,133611,1488,7197,619623,4820738
6,109,20735,497,1253,171019,1176094
6,111,279466,1467,4625,980893,3318936
6,113,73573,1399,2238,407063,1693557
6,115,27251,2433,2099,1127320,1682726
8,1,181671,5053,11129,2300985,10146829
8,3,6708,134,523,78067,445226
8,5,248879,7239,12953,3201227,11877777
8,7,5599,19,2105,5449,1953494
8,9,1583,192,262,160454,276809
