"year","quarter","statefips","countyfips","type","total","vac","nostat","vac_days","nostat_days"
2006,1,"01","001","1",23246,290,1791,32482,213628
2006,1,"01","003","1",87350,663,14063,76974,1789838
2006,1,"01","005","1",14247,473,1750,55172,222183
2006,1,"01","007","1",8386,92,766,9535,89945
2006,1,"01","009","1",24133,139,2833,15940,359717
2006,1,"01","011","1",4751,201,843,27268,109753
2006,1,"01","013","1",12453,345,1896,47695,240554
2006,1,"01","015","1",62230,3220,6494,390712,804644
2006,1,"01","017","1",18761,1211,1227,140112,152656
2006,1,"01","019","1",12515,166,1702,21211,217117
2006,1,"01","021","1",19428,296,2459,37551,302373
2006,1,"01","023","1",7170,135,928,17323,120499
2006,1,"01","025","1",13622,324,2917,39829,379143
2006,1,"01","027","1",8954,1,2762,139,360682
2006,1,"01","029","1",7269,93,964,12807,124607
2006,1,"01","031","1",23853,903,2456,104543,308801
2006,1,"01","033","1",29551,1400,2566,168197,328492
2006,1,"01","035","1",5243,155,653,17476,75938
2006,1,"01","037","1",3753,3,603,304,72797
2006,1,"01","039","1",21952,953,4573,117720,605831
2006,1,"01","041","1",9564,196,2351,23154,313471
2006,1,"01","043","1",40462,544,4359,62407,551875
2006,1,"01","045","1",24093,856,2051,107972,263134
2006,1,"01","047","1",25928,2223,2056,289314,250802
2006,1,"01","049","1",30390,365,3772,44865,468244
2006,1,"01","051","1",33447,514,3127,59415,385223
2006,1,"01","053","1",19690,555,2973,68852,375592
2006,1,"01","055","1",53298,2738,3375,327444,425193
2006,1,"01","057","1",8960,221,1216,28748,156476
2006,1,"01","059","1",14534,269,1499,34090,188915
2006,1,"01","061","1",12688,463,1243,60649,156980
2006,1,"01","063","1",5918,164,2295,22014,305081
2006,1,"01","065","1",7815,129,856,17313,102563
2006,1,"01","067","1",8840,203,1057,27603,136750
2006,1,"01","069","1",51432,1821,4314,223179,535422
2006,1,"01","071","1",25311,383,2902,46974,370269
2006,1,"01","073","1",347725,23720,19156,2950910,2427145
2006,1,"01","075","1",6457,10,1016,1247,122534
2006,1,"01","077","1",46575,2270,3508,270100,438532
2006,1,"01","079","1",16042,100,1736,12141,212991
2006,1,"01","081","1",73760,2101,6193,208783,742158
2006,1,"01","083","1",34228,697,2818,84459,342160
2006,1,"01","085","1",4780,13,632,1807,78580
2006,1,"01","087","1",11284,1002,1077,129609,136324
2006,1,"01","089","1",156889,6247,7844,697604,951956
2006,1,"01","091","1",11463,528,1199,67793,146290
2006,1,"01","093","1",14078,1,1975,139,249785
2006,1,"01","095","1",44542,1160,3937,140546,492095
2006,1,"01","097","1",192052,10827,11942,1321543,1464616
2006,1,"01","099","1",8724,213,1237,25722,158004
2006,1,"01","101","1",121645,9717,6610,1175186,847226
2006,1,"01","103","1",58550,1733,4225,201796,539193
2006,1,"01","105","1",3653,171,300,23314,38516
2006,1,"01","107","1",8503,115,1123,13863,144165
2006,1,"01","109","1",21812,567,6509,69565,866327
2006,1,"01","111","1",11750,238,1690,30511,215120
2006,1,"01","113","1",26954,1427,1946,170934,189988
2006,1,"01","115","1",33372,240,4698,26059,585395
2006,1,"01","117","1",79431,329,6049,38808,718129
2006,1,"01","119","1",5020,149,592,17690,75665
2006,1,"01","121","1",38684,1176,4491,144378,559043
2006,1,"01","123","1",22821,522,2197,66105,275387
2006,1,"01","125","1",92672,3248,9365,348014,1191258
2006,1,"01","127","1",33558,780,4536,96072,581305
2006,1,"01","129","1",8071,0,3763,0,489510
2006,1,"01","131","1",5205,177,705,23840,86594
2006,1,"01","133","1",11211,177,1332,20863,167665
2006,1,"02","013","1",6,0,0,0,0
2006,1,"02","016","1",7,0,0,0,0
2006,1,"02","020","1",123326,4437,6196,485872,806722
2006,1,"02","050","1",32,0,0,0,0
2006,1,"02","060","1",4,0,0,0,0
2006,1,"02","068","1",61,0,1,0,140
2006,1,"02","070","1",9,0,0,0,0
2006,1,"02","090","1",35496,2638,3329,312489,444253
2006,1,"02","100","1",141,0,9,0,1260
2006,1,"02","110","1",12191,186,831,20752,100562
